"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"302049","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"195177","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"194207","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","producta"
"344701","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"367909","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"198422","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"335827","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio",NA
"204126","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"357002","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"174882","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","producta"
"188659","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"179815","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","gnavus"
"988375","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Odoribacteraceae]","Butyricimonas",NA
"157772","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"180846","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"181335","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"187816","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"192684","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"183224","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"189887","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"3256931","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"182560","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"182244","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"319709","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"197460","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"4399495","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"193213","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"185949","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]",NA
"28218","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"357389","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"193367","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"194942","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"4379957","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"184753","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"964220","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium","durum"
"367417","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"183054","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"190534","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus",NA
"210542","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira",NA
"177515","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"184971","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"304211","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus",NA
"544996","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"179692","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"181984","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"199677","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"180610","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"193208","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"4426051","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","gnavus"
"180684","Bacteria","Cyanobacteria","4C0d-2","YS2",NA,NA,NA
"181236","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"199528","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"179542","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"181792","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"195294","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"184518","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"179390","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"194532","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"195120","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"2254001","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"180190","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"1109552","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides",NA
"178056","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"187883","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"309433","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira",NA
"180640","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"198711","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"893979","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","parahaemolyticus"
"189601","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"191658","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]",NA
"4404507","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"184339","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"193336","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus",NA
"196656","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"189121","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"571178","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"184426","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"182030","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"193972","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"147981","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"510777","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","faecis"
"528692","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"579366","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"179362","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"192339","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"207487","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira",NA
"525401","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"174473","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"338301","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"343812","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"291090","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","distasonis"
"4153054","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"180911","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"175391","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"191734","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"179425","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"183603","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","fragilis"
"176399","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"513445","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"552235","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenella",NA
"182708","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus",NA
"192437","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"199279","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"2243510","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"174842","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","distasonis"
"317065","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"4339144","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Odoribacteraceae]","Butyricimonas",NA
"183544","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"193709","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"4321136","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"182702","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"366584","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"562410","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae",NA,NA
"306315","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"208790","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"359020","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes",NA
"2875735","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"188764","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"176956","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea",NA
"271490","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"4405482","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"296850","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"299568","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"4453609","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",NA,NA
"336710","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"307761","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"336063","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"186913","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"194832","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"192696","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"175323","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"4476964","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","fragilis"
"198917","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"173851","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"336133","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"177343","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"322927","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
"186430","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"173815","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"182483","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","[Eubacterium]","biforme"
"158393","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"4469167","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"193601","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"4401375","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"315846","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Barnesiellaceae]",NA,NA
"312311","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"362765","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus",NA
"299620","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"303221","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Catenibacterium",NA
"196844","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"195374","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"195102","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"188658","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"177463","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus",NA
"191251","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides",NA
"176204","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"189324","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"345301","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"194727","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira",NA
"190075","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"4232048","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","formicigenerans"
"329884","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"193089","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"847228","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides",NA
"355334","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"177207","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"361927","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",NA,NA
"7369","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacter","formigenes"
"187267","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"177986","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"292243","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"2731539","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","fragilis"
"186460","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"4335815","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"2941399","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Synergistes",NA
"578908","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium",NA
"188276","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus",NA
"179157","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","distasonis"
"313800","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"309220","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"4326866","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"180982","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"346738","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"303137","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"561171","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"186130","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"341284","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"181240","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"308907","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"190335","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"199300","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus",NA
"4457427","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira",NA
"179526","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"184211","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"181472","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"364227","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"190864","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"192912","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"186471","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"174415","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"185405","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"194909","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"4404220","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","parainfluenzae"
"187511","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"176862","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"844998","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"4405104","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus",NA
"174646","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"3868447","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"195548","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"963216","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter",NA
"358143","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"180179","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"905652","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia",NA
"194660","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"189782","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"178882","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus",NA
"214031","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",NA,NA
"3867172","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"4336943","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",NA,NA
"211212","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"186256","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"189503","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae",NA,NA
"842786","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
